Dates,NEWS_SENTIMENT_DAILY_AVG,TWITTER_SENTIMENT_DAILY_AVG,PX_OPEN,sentiment_label
2015-01-01,-0.0321,-0.0029,46.73,negative
2015-01-02,0.0204,-0.0004,46.66,positive
2015-01-05,0.1221,-0.0004,46.37,positive
2015-01-06,0.1305,0.0004,46.38,positive
2015-01-07,-0.2672,-0.0029,45.98,negative
2015-01-08,0.1183,-0.0007,46.75,positive
2015-01-09,0.1179,0.0011,47.61,positive
2015-01-12,0.0884,-0.0001,47.42,positive
2015-01-13,0.1204,0.0008,46.97,positive
2015-01-14,0.0951,0.0005,45.96,positive
2015-01-15,0.043,-0.0006,46.22,positive
2015-01-16,0.1247,-0.0226,45.31,positive
2015-01-19,0.0417,-0.2376,45.31,positive
2015-01-20,-0.035,-0.055,46.3,negative
2015-01-21,0.156,-0.0021,45.94,positive
2015-01-22,0.0579,0.0001,46.38,positive
2015-01-23,0.044,-0.0015,47.36,positive
2015-01-26,0.0534,0.0013,47.0,positive
2015-01-27,0.1952,-0.2361,42.95,positive
2015-01-28,-0.3933,-0.152,42.74,negative
2015-01-29,-0.1518,0.0031,40.93,negative
2015-01-30,0.0732,0.0039,41.55,positive
2015-02-02,0.009,0.0005,40.59,positive
2015-02-03,0.0604,0.001,41.63,positive
2015-02-04,0.0344,-0.0026,41.94,positive
2015-02-05,0.1289,0.033,42.22,positive
2015-02-06,0.0425,0.0034,42.68,positive
2015-02-09,0.1374,0.0116,42.24,positive
2015-02-10,0.1822,0.0708,42.74,positive
2015-02-11,0.1501,-0.0462,42.65,positive
2015-02-12,0.0591,0.0011,42.66,positive
2015-02-13,0.074,0.003,43.38,positive
2015-02-16,0.0554,0.0024,43.38,positive
2015-02-17,0.0564,-0.0002,43.97,positive
2015-02-18,0.0867,-0.0004,43.63,positive
2015-02-19,0.1052,0.0001,43.18,positive
2015-02-20,0.0983,0.0004,43.51,positive
2015-02-23,0.1989,0.0003,43.7,positive
2015-02-24,0.0368,0.0012,44.15,positive
2015-02-25,0.1237,0.0005,43.95,positive
2015-02-26,0.0318,-0.0033,43.99,positive
2015-02-27,0.0368,-0.0161,44.13,positive
2015-03-02,0.0368,0.0006,43.67,positive
2015-03-03,0.0368,0.0006,43.56,positive
2015-03-04,0.0263,-0.0421,43.01,positive
2015-03-05,0.225,-0.0009,43.07,positive
2015-03-06,-0.2404,-0.0147,43.0,negative
2015-03-09,0.3163,-0.0109,42.19,positive
2015-03-10,0.0113,-0.0043,42.35,positive
2015-03-11,0.0582,-0.0017,42.31,positive
2015-03-12,0.2456,-0.0259,41.33,positive
2015-03-13,0.0891,-0.0012,40.7,positive
2015-03-16,0.1756,0.0012,41.47,positive
2015-03-17,0.0586,0.0004,41.37,positive
2015-03-18,0.0734,0.0001,41.43,positive
2015-03-19,0.0859,-0.0018,42.26,positive
2015-03-20,0.0492,0.0003,42.56,positive
2015-03-23,0.0861,-0.0035,42.88,positive
2015-03-24,0.1081,0.0012,42.78,positive
2015-03-25,0.1071,-0.0004,42.92,positive
2015-03-26,0.0616,-0.0004,41.22,positive
2015-03-27,0.0309,0.0004,41.12,positive
2015-03-30,0.0129,-0.0019,41.1,positive
2015-03-31,0.0963,-0.0019,40.78,positive
2015-04-01,0.0273,-0.0004,40.6,positive
2015-04-02,0.0779,-0.0007,40.66,positive
2015-04-03,0.0477,-0.001,40.66,positive
2015-04-06,0.0487,0.0021,40.34,positive
2015-04-07,0.1795,0.0064,41.61,positive
2015-04-08,0.0654,0.0016,41.46,positive
2015-04-09,0.0668,-0.0003,41.25,positive
2015-04-10,0.0638,-0.0024,41.63,positive
2015-04-13,0.0912,0.0008,41.4,positive
2015-04-14,0.0554,-0.0006,41.8,positive
2015-04-15,0.0882,-0.0013,41.76,positive
2015-04-16,0.1127,0.0005,41.95,positive
2015-04-17,0.2031,0.0002,41.67,positive
2015-04-20,0.0371,-0.0002,41.73,positive
2015-04-21,0.0745,0.0009,43.0,positive
2015-04-22,0.1221,-0.0011,42.67,positive
2015-04-23,0.0818,0.0008,42.89,positive
2015-04-24,0.35,0.3616,45.66,positive
2015-04-27,0.1343,0.0029,47.23,positive
2015-04-28,0.089,0.006,47.78,positive
2015-04-29,0.1064,0.0095,48.72,positive
2015-04-30,0.0688,0.0012,48.7,positive
